name,date,country
EPI_ISL_412978_2020-01-17_China-Hubei_BetaCoV/Wuhan/HBCDC-HB-02/2020,2020-01-17,China
Node59,NA,NA
MT049951_2020-01-17_China-Yunnan_SARS-CoV-2/Yunnan-01/human/2020/CHN,2020-01-17,China
Node60,NA,NA
EPI_ISL_408480_2020-01-18_China-Yunnan_Yunnan/IVDC-YN-003/2020,2020-01-18,China
Node61,NA,NA
MN997409_2020-01-22_UnitedStates_2019-nCoV/USA-AZ1/2020,2020-01-22,UnitedStates
Node62,NA,NA
EPI_ISL_412873_2020-02-06_Korea_BetaCoV/Korea/KCDC24/2020,2020-02-06,Korea
EPI_ISL_413485_2020-01-24_China-Anhui_BetaCoV/Anhui/SZ005/2020,2020-01-24,China
EPI_ISL_412980_2020-01-18_China-Hubei_BetaCoV/Wuhan/HBCDC-HB-04/2020,2020-01-18,China
Node63,NA,NA
Node64,NA,NA
Node65,NA,NA
Node66,NA,NA
EPI_ISL_407215_2020-01-25_UnitedStates_BetaCoV/USA/WA1-F6/2020,2020-01-25,UnitedStates
EPI_ISL_407214_2020-01-25_UnitedStates_BetaCoV/USA/WA1-A12/2020,2020-01-25,UnitedStates
EPI_ISL_411060_2020-01-21_China-Fujian_BetaCoV/Fujian/8/2020,2020-01-21,China
Node67,NA,NA
EPI_ISL_408478_2020-01-22_China-Chongqing_Chongqing/YC01/2020,2020-01-22,China
MN985325_2020-01-19_UnitedStates_2019-nCoV/USA-WA1/2020,2020-01-19,UnitedStates
Node68,NA,NA
EPI_ISL_413557_2020_UnitedStates_hCoV-19/USA/CA-CDPH-UC1/2020,NA,UnitedStates
Node69,NA,NA
Node70,NA,NA
EPI_ISL_413486_2020-03-01_UnitedStates_BetaCoV/USA/WA8-UW5/2020,2020-03-01,UnitedStates
EPI_ISL_412970_2020-02-24_UnitedStates_BetaCoV/USA/WA2/2020,2020-02-24,UnitedStates
Node71,NA,NA
Node72,NA,NA
EPI_ISL_413925_2020-03-05_UnitedStates_hCoV-19/USA/CA-CDPH-UC7/2020,2020-03-05,UnitedStates
Node73,NA,NA
EPI_ISL_413928_2020-03-05_UnitedStates_hCoV-19/USA/CA-CDPH-UC9/2020,2020-03-05,UnitedStates
EPI_ISL_413931_2020-03-05_UnitedStates_hCoV-19/USA/UC-CDPH-UC11/2020,2020-03-05,UnitedStates
Node74,NA,NA
EPI_ISL_413456_2020-02-20_UnitedStates_BetaCoV/USA/WA-S2/2020,2020-02-20,UnitedStates
Node75,NA,NA
Node76,NA,NA
Node77,NA,NA
Node78,NA,NA
EPI_ISL_414363_2020-03-04_UnitedStates_hCoV-19/USA/WA-UW15/2020,2020-03-04,UnitedStates
Node79,NA,NA
EPI_ISL_413563_2020-03-03_UnitedStates_hCoV-19/USA/WA12-UW8/2020,2020-03-03,UnitedStates
EPI_ISL_413560_2020-02-28_UnitedStates_hCoV-19/USA/WA-S3/2020,2020-02-28,UnitedStates
Node80,NA,NA
Node81,NA,NA
EPI_ISL_413650_2020-03-05_UnitedStates_hCoV-19/USA/WA15-UW11/2020,2020-03-05,UnitedStates
EPI_ISL_413651_2020-03-05_UnitedStates_hCoV-19/USA/WA16-UW12/2020,2020-03-05,UnitedStates
EPI_ISL_413457_2020-02-29_UnitedStates_BetaCoV/USA/WA6-UW3/2020,2020-02-29,UnitedStates
Node82,NA,NA
EPI_ISL_413455_2020-02-28_UnitedStates_BetaCoV/USA/WA4-UW2/2020,2020-02-28,UnitedStates
Node83,NA,NA
EPI_ISL_413653_2020-03-05_UnitedStates_hCoV-19/USA/WA18-UW14/2020,2020-03-05,UnitedStates
Node84,NA,NA
EPI_ISL_414368_2020-03-05_UnitedStates_hCoV-19/USA/WA-UW20/2020,2020-03-05,UnitedStates
EPI_ISL_414366_2020-03-05_UnitedStates_hCoV-19/USA/WA-UW18/2020,2020-03-05,UnitedStates
EPI_ISL_413458_2020-03-01_UnitedStates_BetaCoV/USA/WA7-UW4/2020,2020-03-01,UnitedStates
Node85,NA,NA
Node86,NA,NA
Node87,NA,NA
Node88,NA,NA
Node89,NA,NA
EPI_ISL_403933_2020-01-15_China-Guangdong_BetaCoV/Guangdong/20SF013/2020,2020-01-15,China
EPI_ISL_403935_2020-01-15_China-Guangdong_BetaCoV/Guangdong/20SF025/2020,2020-01-15,China
Node90,NA,NA
Node91,NA,NA
MN938384_2020-01-10_China-Guangdong_2019-nCoV_HKU-SZ-002a_2020,2020-01-10,China
Node92,NA,NA
Node93,NA,NA
EPI_ISL_411956_2020-02-11_UnitedStates_BetaCoV/USA/TX1/2020,2020-02-11,UnitedStates
Node94,NA,NA
EPI_ISL_408665_2020-01-29_Japan_BetaCoV/Japan/TY-WK-012/2020,2020-01-29,Japan
Node95,NA,NA
EPI_ISL_408667_2020-01-31_Japan_BetaCoV/Japan/TY-WK-521/2020,2020-01-31,Japan
EPI_ISL_408666_2020-01-31_Japan_BetaCoV/Japan/TY-WK-501/2020,2020-01-31,Japan
Node96,NA,NA
EPI_ISL_413752_2020-02_China-Shandong_hCoV-19/China/WF0023/2020,NA,China
EPI_ISL_413809_2020-02_China-Shandong_hCoV-19/China/WF0029/2020,NA,China
EPI_ISL_403932_2020-01-14_China-Guangdong_BetaCoV/Guangdong/20SF012/2020,2020-01-14,China
EPI_ISL_406593_2020-01-13_China-Guangdong_BetaCoV/Shenzhen/SZTH-002/2020,2020-01-13,China
MN975262_2020-01-11_China-Guangdong_2019-nCoV_HKU-SZ-005b_2020,2020-01-11,China
Node97,NA,NA
Node98,NA,NA
Node99,NA,NA
EPI_ISL_408668_2020-01-24_Vietnam_BetaCoV/Vietnam/VR03-38142/2020,2020-01-24,Vietnam
MN994467_2020-01-23_UnitedStates_2019-nCoV/USA-CA1/2020,2020-01-23,UnitedStates
Node100,NA,NA
EPI_ISL_410045_2020-01-28_UnitedStates_BetaCoV/USA/IL2/2020,2020-01-28,UnitedStates
EPI_ISL_412028_2020-01-22_China-HongKong_BetaCoV/HongKong/VM20001061/2020,2020-01-22,China
EPI_ISL_408484_2020-01-16_China-Sichuan_Sichuan/IVDC-SC-001/2020,2020-01-16,China
Node101,NA,NA
EPI_ISL_411929_2020-01_Korea_BetaCoV/SouthKorea/SNU01/2020,NA,Korea
Node102,NA,NA
Node103,NA,NA
EPI_ISL_406031_2020-01-23_China-Taiwan_BetaCoV/Taiwan/2/2020,2020-01-23,China
Node104,NA,NA
Node105,NA,NA
Node106,NA,NA
Node107,NA,NA
EPI_ISL_413017_2020-02-06_Korea_BetaCoV/SouthKorea/KUMC01/2020,2020-02-06,Korea
EPI_ISL_413018_2020-02-06_Korea_BetaCoV/SouthKorea/KUMC02/2020,2020-02-06,Korea
Node108,NA,NA
Node109,NA,NA
EPI_ISL_412029_2020-01-30_China-HongKong_BetaCoV/HongKong/VM20001988/2020,2020-01-30,China
Node110,NA,NA
Node111,NA,NA
EPI_ISL_410545_2020-01-29_Italy_BetaCoV/Italy/INMI1-isl/2020,2020-01-29,Italy
MT066156_2020-01-30_Italy_SARS-CoV-2/INMI1/human/2020/ITA,2020-01-30,Italy
EPI_ISL_408977_2020-01-25_Australia_BetaCoV/Sydney/3/2020,2020-01-25,Australia
Node112,NA,NA
Node113,NA,NA
Node114,NA,NA
Node115,NA,NA
Node116,NA,NA
Node117,NA,NA
Node118,NA,NA
EPI_ISL_414006_2020-02-28_UnitedKingdom_hCoV-19/England/200990724/2020,2020-02-28,UnitedKingdom
EPI_ISL_414007_2020-02-28_UnitedKingdom_hCoV-19/England/200990725/2020,2020-02-28,UnitedKingdom
EPI_ISL_414005_2020-02-25_UnitedKingdom_hCoV-19/England/200940527/2020,2020-02-25,UnitedKingdom
EPI_ISL_412116_2020-02-09_UnitedKingdom_BetaCoV/England/03/2020,2020-02-09,UnitedKingdom
Node119,NA,NA
Node120,NA,NA
EPI_ISL_413603_2020-03-03_Finland_hCoV-19/Finland/FIN03032020B/2020,2020-03-03,Finland
EPI_ISL_413025_2020-02-27_UnitedStates_BetaCoV/USA/WA3_UW1/2020,2020-02-27,UnitedStates
Node121,NA,NA
EPI_ISL_414009_2020-02-25_UnitedKingdom_hCoV-19/England/200960515/2020,2020-02-25,UnitedKingdom
Node122,NA,NA
Node123,NA,NA
EPI_ISL_413019_2020-02-26_Switzerland_BetaCoV/Switzerland/1000477102/2020,2020-02-26,Switzerland
Node124,NA,NA
Node125,NA,NA
Node126,NA,NA
EPI_ISL_414468_2020-03-06_Netherlands_hCoV-19/Netherlands/ZuidHolland_8/2020,2020-03-06,Netherlands
EPI_ISL_414451_2020-03-06_Netherlands_hCoV-19/Netherlands/NoordBrabant_6/2020,2020-03-06,Netherlands
EPI_ISL_414011_2020-02-26_UnitedKingdom_hCoV-19/England/200990006/2020,2020-02-26,UnitedKingdom
MT126808_2020-02-28_Brazil_SARS-CoV-2/SP02/human/2020/BRA,2020-02-28,Brazil
EPI_ISL_413016_2020-02-28_Brazil_BetaCov/Brazil/SPBR-02/2020,2020-02-28,Brazil
Node127,NA,NA
EPI_ISL_412974_2020-01-29_Italy_BetaCoV/Italy/SPL1/2020,2020-01-29,Italy
EPI_ISL_410546_2020-01-31_Italy_BetaCoV/Italy/INMI1-cs/2020,2020-01-31,Italy
Node128,NA,NA
EPI_ISL_413863_2020-02-01_China-Guangdong_hCoV-19/Guangdong/GD2020087-P0008/2020,2020-02-01,China
Node129,NA,NA
Node130,NA,NA
